distance_m,received_power_w,signal_current_a,snr_db,theoretical_ber
384.0,8.668303632412e-07,2.600491089724e-07,1.608656505009e+01,7.104760495185e-04
386.0,8.457612906230e-07,2.537283871869e-07,1.587336710627e+01,9.262521883336e-04
388.0,8.252481739152e-07,2.475744521746e-07,1.566061686397e+01,1.192729220165e-03
390.0,8.052749373556e-07,2.415824812067e-07,1.544830999939e+01,1.517967154891e-03
392.0,7.858260179739e-07,2.357478053922e-07,1.523644224825e+01,1.910516841752e-03
394.0,7.668863474900e-07,2.300659042470e-07,1.502500940480e+01,2.379322230959e-03
396.0,7.484413349186e-07,2.245324004756e-07,1.481400732080e+01,2.933608215499e-03
398.0,7.304768498497e-07,2.191430549549e-07,1.460343190453e+01,3.582757324124e-03
400.0,7.129792063776e-07,2.138937619133e-07,1.439327911984e+01,4.336178898444e-03
402.0,6.959351476495e-07,2.087805442949e-07,1.418354498521e+01,5.203174560561e-03
404.0,6.793318310073e-07,2.037995493022e-07,1.397422557278e+01,6.192803769537e-03
406.0,6.631568136978e-07,1.989470441094e-07,1.376531700749e+01,7.313753092426e-03
408.0,6.473980391284e-07,1.942194117385e-07,1.355681546615e+01,8.574212503841e-03
410.0,6.320438236427e-07,1.896131470928e-07,1.334871717659e+01,9.981761606921e-03
412.0,6.170828437972e-07,1.851248531392e-07,1.314101841679e+01,1.154326817062e-02
414.0,6.025041241167e-07,1.807512372350e-07,1.293371551405e+01,1.326480083520e-02
416.0,5.882970253083e-07,1.764891075925e-07,1.272680484414e+01,1.515155727985e-02
418.0,5.744512329166e-07,1.723353698750e-07,1.252028283054e+01,1.720780859922e-02
420.0,5.609567464003e-07,1.682870239201e-07,1.231414594359e+01,1.943686012151e-02
422.0,5.478038686134e-07,1.643411605840e-07,1.210839069974e+01,2.184102843604e-02
424.0,5.349831956759e-07,1.604949587028e-07,1.190301366082e+01,2.442163399461e-02
426.0,5.224856072156e-07,1.567456821647e-07,1.169801143322e+01,2.717900831545e-02
428.0,5.103022569684e-07,1.530906770905e-07,1.149338066722e+01,3.011251455436e-02
430.0,4.984245637218e-07,1.495273691165e-07,1.128911805625e+01,3.322058001295e-02
432.0,4.868442025867e-07,1.460532607760e-07,1.108522033617e+01,3.650073902668e-02
434.0,4.755530965866e-07,1.426659289760e-07,1.088168428460e+01,3.994968460806e-02
436.0,4.645434085495e-07,1.393630225649e-07,1.067850672023e+01,4.356332720743e-02
438.0,4.538075332922e-07,1.361422599877e-07,1.047568450216e+01,4.733685898640e-02
440.0,4.433380900836e-07,1.330014270251e-07,1.027321452925e+01,5.126482206868e-02
442.0,4.331279153781e-07,1.299383746134e-07,1.007109373946e+01,5.534117933267e-02
444.0,4.231700558069e-07,1.269510167421e-07,9.869319109242e+00,5.955938643065e-02
446.0,4.134577614179e-07,1.240373284254e-07,9.667887652930e+00,6.391246385493e-02
448.0,4.039844791542e-07,1.211953437463e-07,9.466796422112e+00,6.839306801455e-02
450.0,3.947438465621e-07,1.184231539686e-07,9.266042505051e+00,7.299356043260e-02
452.0,3.857296857202e-07,1.157189057161e-07,9.065623026102e+00,7.770607431897e-02
454.0,3.769359973801e-07,1.130807992140e-07,8.865535145136e+00,8.252257791254e-02
