distance_m,beam_radius_m,geometric_collection_efficiency,water_transmittance,received_power_w,signal_current_a,background_current_a,shot_noise_variance_a2,thermal_noise_variance_a2,total_noise_variance_a2,noise_rms_current_a,snr_linear,snr_db
194.0,9.800080834142e-01,6.507597768121e-04,2.505217840407e-01,1.304236002151e-05,3.912708006453e-06,3.000000000000e-10,1.254186434646e-16,1.656778800000e-15,1.782197443465e-15,4.221608038964e-08,8.590116656210e+03,3.933999061713e+01
196.0,9.900081667483e-01,6.376795108424e-04,2.469721751288e-01,1.259912766623e-05,3.779738299869e-06,3.000000000000e-10,1.211578243262e-16,1.656778800000e-15,1.777936624326e-15,4.216558578185e-08,8.035394186735e+03,3.905007186504e+01
198.0,1.000008250083e+00,6.249896875245e-04,2.434728601405e-01,1.217344214239e-05,3.652032642717e-06,3.000000000000e-10,1.170656839278e-16,1.656778800000e-15,1.773844483928e-15,4.211703318051e-08,7.518890491425e+03,3.876153759607e+01
200.0,1.010008333417e+00,6.126749205893e-04,2.400231264678e-01,1.176449199586e-05,3.529347598758e-06,3.000000000000e-10,1.131344217124e-16,1.656778800000e-15,1.769913221712e-15,4.207033660089e-08,7.037799548618e+03,3.847436893052e+01
202.0,1.020008416751e+00,6.007205742811e-04,2.366222716000e-01,1.137150935066e-05,3.411452805197e-06,3.000000000000e-10,1.093566560421e-16,1.656778800000e-15,1.766135456042e-15,4.202541440655e-08,6.589534343062e+03,3.818854725765e+01
204.0,1.030008500085e+00,5.891127198516e-04,2.332696029799e-01,1.099376722161e-05,3.298130166484e-06,3.000000000000e-10,1.057253983651e-16,1.656778800000e-15,1.762504198365e-15,4.198218906114e-08,6.171708756871e+03,3.790405423504e+01
206.0,1.040008583419e+00,5.778380949687e-04,2.299644378631e-01,1.063057701483e-05,3.189173104449e-06,3.000000000000e-10,1.022340291871e-16,1.656778800000e-15,1.759012829187e-15,4.194058689607e-08,5.782121040493e+03,3.762087178768e+01
208.0,1.050008666753e+00,5.668840658179e-04,2.267061031791e-01,1.028128620127e-05,3.084385860382e-06,3.000000000000e-10,9.887627570735e-17,1.656778800000e-15,1.755655075707e-15,4.190053789282e-08,5.418738718873e+03,3.733898210675e+01
210.0,1.060008750088e+00,5.562385916949e-04,2.234939353938e-01,9.945276150063e-06,2.983582845019e-06,3.000000000000e-10,9.564619099034e-17,1.656778800000e-15,1.752424990990e-15,4.186197547883e-08,5.079684801836e+03,3.705836764829e+01
212.0,1.070008833422e+00,5.458901919032e-04,2.203272803748e-01,9.621960109223e-06,2.886588032767e-06,3.000000000000e-10,9.253813455414e-17,1.656778800000e-15,1.749316934554e-15,4.182483633625e-08,4.763225180254e+03,3.677901113158e+01
214.0,1.080008916756e+00,5.358279147879e-04,2.172054932578e-01,9.310781322624e-06,2.793234396787e-06,3.000000000000e-10,8.954675426883e-17,1.656778800000e-15,1.746325554269e-15,4.178906022237e-08,4.467757100801e+03,3.650089553734e+01
216.0,1.090009000090e+00,5.260413087482e-04,2.141279383158e-01,9.011211272893e-06,2.703363381868e-06,3.000000000000e-10,8.666696946529e-17,1.656778800000e-15,1.743445769465e-15,4.175458980119e-08,4.191798622257e+03,3.622400410583e+01
218.0,1.100009083424e+00,5.165203950867e-04,2.110939888290e-01,8.722748040830e-06,2.616824412249e-06,3.000000000000e-10,8.389395516421e-17,1.656778800000e-15,1.740672755164e-15,4.172137048521e-08,3.933978965447e+03,3.594832033465e+01
220.0,1.110009166758e+00,5.072556425630e-04,2.081030269577e-01,8.444914772700e-06,2.533474431810e-06,3.000000000000e-10,8.122312734213e-17,1.656778800000e-15,1.738001927342e-15,4.168935028688e-08,3.693029677159e+03,3.567382797652e+01
222.0,1.120009250093e+00,4.982379435299e-04,2.051544436164e-01,8.177258247477e-06,2.453177474243e-06,3.000000000000e-10,7.865012915823e-17,1.656778800000e-15,1.735428929158e-15,4.165847967891e-08,3.467776535829e+03,3.540051103688e+01
224.0,1.130009333427e+00,4.894585915427e-04,2.022476383493e-01,7.919347536745e-06,2.375804261023e-06,3.000000000000e-10,7.617081807187e-17,1.656778800000e-15,1.732949618072e-15,4.162871146303e-08,3.257132133465e+03,3.512835377131e+01
226.0,1.140009416761e+00,4.809092603357e-04,1.993820192088e-01,7.670772750554e-06,2.301231825166e-06,3.000000000000e-10,7.378125378645e-17,1.656778800000e-15,1.730560053786e-15,4.160000064647e-08,3.060089074384e+03,3.485734068295e+01
228.0,1.150009500095e+00,4.725819840739e-04,1.965570026341e-01,7.431143863074e-06,2.229343158922e-06,3.000000000000e-10,7.147768696034e-17,1.656778800000e-15,1.728256486960e-15,4.157230432584e-08,2.875713736781e+03,3.458745651974e+01
230.0,1.160009583429e+00,4.644691387908e-04,1.937720133330e-01,7.200089612363e-06,2.160026883709e-06,3.000000000000e-10,6.925654863029e-17,1.656778800000e-15,1.726035348630e-15,4.154558157771e-08,2.703140548105e+03,3.431868627156e+01
232.0,1.170009666763e+00,4.565634249320e-04,1.910264841647e-01,6.977256469035e-06,2.093176940710e-06,3.000000000000e-10,6.711444029716e-17,1.656778800000e-15,1.723893240297e-15,4.151979335567e-08,2.541566729716e+03,3.405101516741e+01
234.0,1.180009750098e+00,4.488578509300e-04,1.883198560238e-01,6.762307668983e-06,2.028692300695e-06,3.000000000000e-10,6.504812462746e-17,1.656778800000e-15,1.721826924627e-15,4.149490239328e-08,2.390247470308e+03,3.378442867235e+01
236.0,1.190009833432e+00,4.413457177410e-04,1.856515777271e-01,6.554922305736e-06,1.966476691721e-06,3.000000000000e-10,6.305451672810e-17,1.656778800000e-15,1.719833316728e-15,4.147087311268e-08,2.248491491279e+03,3.351891248454e+01
238.0,1.200009916766e+00,4.340206042803e-04,1.830211059008e-01,6.354794478328e-06,1.906438343498e-06,3.000000000000e-10,6.113067595478e-17,1.656778800000e-15,1.717909475955e-15,4.144767153840e-08,2.115656970540e+03,3.325445253213e+01
240.0,1.210010000100e+00,4.268763536960e-04,1.804279048702e-01,6.161632490879e-06,1.848489747264e-06,3.000000000000e-10,5.927379821757e-17,1.656778800000e-15,1.716052598218e-15,4.142526521602e-08,1.991147794239e+03,3.299103497014e+01
242.0,1.220010083434e+00,4.199070604277e-04,1.778714465505e-01,5.975158100404e-06,1.792547430121e-06,3.000000000000e-10,5.748120875002e-17,1.656778800000e-15,1.714260008750e-15,4.140362313554e-08,1.874410108638e+03,3.272864617732e+01
244.0,1.230010166768e+00,4.131070579989e-04,1.753512103393e-01,5.795105809585e-06,1.738531742875e-06,3.000000000000e-10,5.575035531053e-17,1.656778800000e-15,1.712529155311e-15,4.138271565896e-08,1.764929146819e+03,3.246727275297e+01
246.0,1.240010250103e+00,4.064709074945e-04,1.728666830105e-01,5.621222201506e-06,1.686366660452e-06,3.000000000000e-10,5.407880178713e-17,1.656778800000e-15,1.710857601787e-15,4.136251445194e-08,1.662226307153e+03,3.220690151372e+01
248.0,1.250010333437e+00,3.999933866825e-04,1.704173586097e-01,5.453265313583e-06,1.635979594075e-06,3.000000000000e-10,5.246422217904e-17,1.656778800000e-15,1.709243022179e-15,4.134299241926e-08,1.565856462481e+03,3.194751949031e+01
250.0,1.260010416771e+00,3.936694797368e-04,1.680027383516e-01,5.291004048097e-06,1.587301214429e-06,3.000000000000e-10,5.090439493005e-17,1.656778800000e-15,1.707683194930e-15,4.132412364382e-08,1.475405480834e+03,3.168911392442e+01
252.0,1.270010500105e+00,3.874943675238e-04,1.656223305178e-01,5.134217616945e-06,1.540265285083e-06,3.000000000000e-10,4.939719759092e-17,1.656778800000e-15,1.706175997591e-15,4.130588332902e-08,1.390487940156e+03,3.143167226536e+01
254.0,1.280010583439e+00,3.814634184194e-04,1.632756503572e-01,4.982695018393e-06,1.494808505518e-06,3.000000000000e-10,4.794060178939e-17,1.656778800000e-15,1.704719401789e-15,4.128824774424e-08,1.310745021042e+03,3.117518216690e+01
256.0,1.290010666773e+00,3.755721796211e-04,1.609622199870e-01,4.836234543774e-06,1.450870363132e-06,3.000000000000e-10,4.653266848796e-17,1.656778800000e-15,1.703311468488e-15,4.127119417327e-08,1.235842562890e+03,3.091963148404e+01
258.0,1.300010750108e+00,3.698163689269e-04,1.586815682955e-01,4.694643312213e-06,1.408392993664e-06,3.000000000000e-10,4.517154351124e-17,1.656778800000e-15,1.701950343511e-15,4.125470086561e-08,1.165469270102e+03,3.066500826976e+01
260.0,1.310010833442e+00,3.641918669511e-04,1.564332308460e-01,4.557736831601e-06,1.367321049480e-06,3.000000000000e-10,4.385545332556e-17,1.656778800000e-15,1.700634253326e-15,4.123874699025e-08,1.099335056139e+03,3.041130077187e+01
262.0,1.320010916776e+00,3.586947097523e-04,1.542167497826e-01,4.425338584176e-06,1.327601575253e-06,3.000000000000e-10,4.258270105511e-17,1.656778800000e-15,1.699361501055e-15,4.122331259197e-08,1.037169514267e+03,3.015849742979e+01
264.0,1.330011000110e+00,3.533210818469e-04,1.520316737363e-01,4.297279635160e-06,1.289183890548e-06,3.000000000000e-10,4.135166271979e-17,1.656778800000e-15,1.698130462720e-15,4.120837855000e-08,9.787205047759e+02,2.990658687142e+01
