distance_m,wavelength_nm,attenuation_per_m,attenuation_uncertainty_per_m,transmittance,transmittance_uncertainty,transmittance_lower,transmittance_upper,path_loss_db,path_loss_uncertainty_db,path_loss_lower_db,path_loss_upper_db
2.0,394.0,7.222074345802e-03,2.999061071581e-04,9.856596675772e-01,5.912107077716e-04,9.850686341416e-01,9.862510556281e-01,0.062730141,0.002604951,0.060125189,0.065335092
2.0,396.0,7.216196752604e-03,2.990836701006e-04,9.856712542584e-01,5.895963524725e-04,9.850818342094e-01,9.862610269847e-01,0.062679089,0.002597808,0.060081281,0.065276896
2.0,398.0,7.223476338366e-03,2.982987420981e-04,9.856569038060e-01,5.880404290913e-04,9.850690387537e-01,9.862451196817e-01,0.062742318,0.002590990,0.060151328,0.065333308
2.0,400.0,7.253808522356e-03,2.881591423084e-04,9.855971113665e-01,5.680176365460e-04,9.850292573780e-01,9.861652927140e-01,0.063005780,0.002502919,0.060502862,0.065508699
2.0,402.0,7.297092822081e-03,2.874204193702e-04,9.855117932980e-01,5.665124258480e-04,9.849454436682e-01,9.860784685822e-01,0.063381743,0.002496502,0.060885241,0.065878245
2.0,404.0,7.303232667298e-03,2.961510245553e-04,9.854996915925e-01,5.837134867281e-04,9.849161509390e-01,9.860835779807e-01,0.063435073,0.002572335,0.060862738,0.066007408
2.0,406.0,7.292135223641e-03,3.049908595813e-04,9.855215648899e-01,6.011501384233e-04,9.849205980595e-01,9.861228984109e-01,0.063338682,0.002649117,0.060689565,0.065987799
2.0,408.0,7.213711225286e-03,3.234988132867e-04,9.856761540962e-01,6.377301322703e-04,9.850386302244e-01,9.863140905779e-01,0.062657500,0.002809875,0.059847625,0.065467375
2.0,410.0,7.187874816150e-03,3.325667754606e-04,9.857270880769e-01,6.556401583319e-04,9.850716659144e-01,9.863829463278e-01,0.062433087,0.002888638,0.059544449,0.065321726
2.0,412.0,7.144543399123e-03,3.032590807601e-04,9.858125176817e-01,5.979131958280e-04,9.852147857719e-01,9.864106122368e-01,0.062056715,0.002634075,0.059422641,0.064690790
2.0,414.0,7.143637492892e-03,3.027323482350e-04,9.858143037908e-01,5.968757582204e-04,9.852176086897e-01,9.864113602790e-01,0.062048847,0.002629500,0.059419347,0.064678347
2.0,416.0,7.135080595916e-03,3.118369515486e-04,9.858311749580e-01,6.148371766809e-04,9.852165294704e-01,9.864462039035e-01,0.061974523,0.002708581,0.059265941,0.064683104
2.0,418.0,7.168799057154e-03,3.210164391921e-04,9.857646957791e-01,6.328933450405e-04,9.851320055597e-01,9.863977923368e-01,0.062267397,0.002788313,0.059479084,0.065055711
