wavelength_nm,absorption_per_m,absorption_uncertainty_per_m,scattering_per_m,scattering_uncertainty_per_m,attenuation_per_m,combined_uncertainty_per_m,relative_attenuation_uncertainty,attenuation_lower_per_m,attenuation_upper_per_m,attenuation_length_m,attenuation_length_uncertainty_m,half_power_distance_m,half_power_distance_uncertainty_m,scattering_relative_uncertainty_assumption
486.0,1.336000000000e-02,5.300000000000e-04,2.203034959826e-03,4.406069919652e-05,1.556303495983e-02,5.318283042615e-04,0.034172532,1.503120665557e-02,1.609486326409e-02,64.254819358,2.195749846,44.538046875,1.521977815,0.020000
488.0,1.391000000000e-02,4.900000000000e-04,2.165379939420e-03,4.330759878840e-05,1.607537993942e-02,4.919101016576e-04,0.030600216,1.558346983776e-02,1.656729004108e-02,62.206927847,1.903545441,43.118556648,1.319437156,0.020000
490.0,1.460000000000e-02,5.400000000000e-04,2.128531575614e-03,4.257063151228e-05,1.672853157561e-02,5.416754181863e-04,0.032380333,1.618685615742e-02,1.727020699380e-02,59.778109960,1.935635089,41.435028378,1.341680005,0.020000
492.0,1.545000000000e-02,5.500000000000e-04,2.092469025784e-03,4.184938051568e-05,1.754246902578e-02,5.515898572758e-04,0.031443114,1.699087916850e-02,1.809405888306e-02,57.004518493,1.792399586,39.512521273,1.242396719,0.020000
494.0,1.648000000000e-02,5.400000000000e-04,2.057172079930e-03,4.114344159860e-05,1.853717207993e-02,5.415651233107e-04,0.029215089,1.799560695662e-02,1.907873720324e-02,53.945660950,1.576027260,37.392282791,1.092418852,0.020000
496.0,1.774000000000e-02,5.800000000000e-04,2.022621138556e-03,4.045242277112e-05,1.976262113856e-02,5.814089769758e-04,0.029419629,1.918121216158e-02,2.034403011554e-02,50.600575348,1.488650141,35.073646137,1.031853648,0.020000
498.0,1.926000000000e-02,6.800000000000e-04,1.988797191430e-03,3.977594382860e-05,2.124879719143e-02,6.811623343282e-04,0.032056513,2.056763485710e-02,2.192995952576e-02,47.061487339,1.508627161,32.620537262,1.045700663,0.020000
500.0,2.073000000000e-02,7.400000000000e-04,1.955681797182e-03,3.911363594364e-05,2.268568179718e-02,7.410329793719e-04,0.032665228,2.194464881781e-02,2.342671477655e-02,44.080667663,1.439905081,30.554390508,0.998066147,0.020000
502.0,2.242000000000e-02,8.500000000000e-04,1.923257063698e-03,3.846514127396e-05,2.434325706370e-02,8.508698884631e-04,0.034953001,2.349238717524e-02,2.519412695216e-02,41.079137331,1.435839128,28.473888221,0.995247843,0.020000
504.0,2.424000000000e-02,8.400000000000e-04,1.891505629288e-03,3.783011258576e-05,2.613150562929e-02,8.408514241043e-04,0.032177688,2.529065420519e-02,2.697235705339e-02,38.267982495,1.231375185,26.525344172,0.853524238,0.020000
506.0,2.668000000000e-02,9.600000000000e-04,1.860410644580e-03,3.720821289160e-05,2.854041064458e-02,9.607207976861e-04,0.033661772,2.757968984689e-02,2.950113144227e-02,35.038038256,1.179442457,24.286517429,0.817527214,0.020000
508.0,2.971000000000e-02,1.060000000000e-03,1.829955755118e-03,3.659911510236e-05,3.153995575512e-02,1.060631649172e-03,0.033628191,3.047932410595e-02,3.260058740429e-02,31.705814928,1.066209193,21.976796224,0.739039896,0.020000
510.0,3.300000000000e-02,1.220000000000e-03,1.800125084628e-03,3.600250169256e-05,3.480012508463e-02,1.220531105760e-03,0.035072607,3.357959397887e-02,3.602065619039e-02,28.735528897,1.007829908,19.917950837,0.698574459,0.020000
512.0,3.569000000000e-02,1.230000000000e-03,1.770903218928e-03,3.541806437856e-05,3.746090321893e-02,1.230509829008e-03,0.032847842,3.623039338992e-02,3.869141304794e-02,26.694497838,0.876856646,18.503215913,0.607790712,0.020000
514.0,3.738000000000e-02,1.230000000000e-03,1.742275190450e-03,3.484550380900e-05,3.912227519045e-02,1.230493481956e-03,0.031452503,3.789178170849e-02,4.035276867241e-02,25.560885586,0.803953833,17.717455776,0.557258333,0.020000
516.0,3.821000000000e-02,1.310000000000e-03,1.714226463345e-03,3.428452926690e-05,3.992422646334e-02,1.310448560206e-03,0.032823393,3.861377790313e-02,4.123467502355e-02,25.047448344,0.822142231,17.361568200,0.569865569,0.020000
518.0,3.878000000000e-02,1.290000000000e-03,1.686742919163e-03,3.373485838326e-05,4.046674291916e-02,1.290441025646e-03,0.031888927,3.917630189351e-02,4.175718394481e-02,24.711650305,0.788028022,17.128810736,0.546219401,0.020000
520.0,3.917000000000e-02,1.290000000000e-03,1.659810843058e-03,3.319621686116e-05,4.082981084306e-02,1.290427056758e-03,0.031605022,3.953938378630e-02,4.212023789982e-02,24.491908715,0.774067306,16.976497472,0.536542571,0.020000
522.0,3.962000000000e-02,1.170000000000e-03,1.633416910520e-03,3.266833821040e-05,4.125341691052e-02,1.170455988203e-03,0.028372340,4.008296092232e-02,4.242387289872e-02,24.240416307,0.687757343,16.802176219,0.476717064,0.020000
524.0,4.017000000000e-02,1.220000000000e-03,1.607548174591e-03,3.215096349182e-05,4.177754817459e-02,1.220423567641e-03,0.029212427,4.055712460695e-02,4.299797174223e-02,23.936301762,0.699237463,16.591380080,0.484674476,0.020000
526.0,4.088000000000e-02,1.180000000000e-03,1.582192053566e-03,3.164384107132e-05,4.246219205357e-02,1.180424217253e-03,0.027799418,4.128176783632e-02,4.364261627082e-02,23.550362137,0.654686356,16.323867117,0.453794002,0.020000
528.0,4.162000000000e-02,1.200000000000e-03,1.557336319142e-03,3.114672638284e-05,4.317733631914e-02,1.200404148012e-03,0.027801718,4.197693217113e-02,4.437774046715e-02,23.160298556,0.643896100,16.053495645,0.446314766,0.020000
530.0,4.242000000000e-02,1.170000000000e-03,1.532969084999e-03,3.065938169998e-05,4.395296908500e-02,1.170401639475e-03,0.026628500,4.278256744552e-02,4.512337072448e-02,22.751591549,0.605840757,15.770201536,0.419936812,0.020000
532.0,4.330000000000e-02,1.250000000000e-03,1.509078795811e-03,3.018157591622e-05,4.480907879581e-02,1.250364317919e-03,0.027904263,4.355871447789e-02,4.605944311373e-02,22.316906013,0.622736814,15.468900481,0.431648267,0.020000
534.0,4.436000000000e-02,1.290000000000e-03,1.485654216642e-03,2.971308433284e-05,4.584565421664e-02,1.290342151284e-03,0.028145354,4.455531206536e-02,4.713599636792e-02,21.812318247,0.613915411,15.119146894,0.425533736,0.020000
536.0,4.541000000000e-02,1.400000000000e-03,1.462684422735e-03,2.925368845470e-05,4.687268442274e-02,1.400305601748e-03,0.029874662,4.547237882099e-02,4.827299002449e-02,21.334387230,0.637357606,14.787870358,0.441782628,0.020000
538.0,4.645000000000e-02,1.360000000000e-03,1.440158789674e-03,2.880317579348e-05,4.789015878967e-02,1.360304974238e-03,0.028404687,4.652985381543e-02,4.925046376391e-02,20.881116816,0.593121589,14.473687248,0.411120557,0.020000
540.0,4.754000000000e-02,1.420000000000e-03,1.418066983887e-03,2.836133967774e-05,4.895806698389e-02,1.420283199080e-03,0.029010198,4.753778378481e-02,5.037835018297e-02,20.425643037,0.592551941,14.157976882,0.410725707,0.020000
542.0,4.882000000000e-02,1.410000000000e-03,1.396398953500e-03,2.792797907000e-05,5.021639895350e-02,1.410276558699e-03,0.028083984,4.880612239480e-02,5.162667551220e-02,19.913813432,0.559259223,13.803203635,0.387648954,0.020000
544.0,5.040000000000e-02,1.500000000000e-03,1.375144919507e-03,2.750289839014e-05,5.177514491951e-02,1.500252115286e-03,0.028976300,5.027489280422e-02,5.327539703480e-02,19.314286837,0.559656564,13.387643466,0.387924369,0.020000
546.0,5.224000000000e-02,1.500000000000e-03,1.354295367267e-03,2.708590734534e-05,5.359429536727e-02,1.500244528861e-03,0.027992616,5.209405083841e-02,5.509453989613e-02,18.658702258,0.522305887,12.933226863,0.362034853,0.020000
548.0,5.425000000000e-02,1.630000000000e-03,1.333841038284e-03,2.667682076568e-05,5.558384103828e-02,1.630218283779e-03,0.029328997,5.395362275450e-02,5.721405932206e-02,17.990840167,0.527653290,12.470300138,0.365741390,0.020000
550.0,5.629000000000e-02,1.840000000000e-03,1.313772922290e-03,2.627545844580e-05,5.760377292229e-02,1.840187599055e-03,0.031945609,5.576358532323e-02,5.944396052135e-02,17.359973996,0.554574939,12.033017030,0.384402056,0.020000
