distance_m,wavelength_nm,attenuation_per_m,optical_depth,transmittance,path_loss_db
4.0,438.0,8.216734244034e-03,3.286693697614e-02,9.676673117614e-01,0.142739294
4.0,440.0,8.571324042880e-03,3.428529617152e-02,9.662957848205e-01,0.148899149
4.0,442.0,9.027488419921e-03,3.610995367968e-02,9.645342335642e-01,0.156823536
4.0,444.0,9.485181496220e-03,3.794072598488e-02,9.627700064438e-01,0.164774479
4.0,446.0,1.007435896844e-02,4.029743587376e-02,9.605037084014e-01,0.175009540
4.0,448.0,1.061497804633e-02,4.245991218532e-02,9.584288860704e-01,0.184401056
4.0,450.0,1.112699739305e-02,4.450798957220e-02,9.564679582933e-01,0.193295743
4.0,452.0,1.141037706817e-02,4.564150827268e-02,9.553843982100e-01,0.198218552
4.0,454.0,1.156507847319e-02,4.626031389276e-02,9.547933838554e-01,0.200905991
4.0,456.0,1.165106429946e-02,4.660425719784e-02,9.544650455314e-01,0.202399717
4.0,458.0,1.175829847849e-02,4.703319391396e-02,9.540557282210e-01,0.204262566
4.0,460.0,1.186674613428e-02,4.746698453712e-02,9.536419575435e-01,0.206146495
4.0,462.0,1.205637353789e-02,4.822549415156e-02,9.529188852133e-01,0.209440660
4.0,464.0,1.222714806386e-02,4.890859225544e-02,9.522681704060e-01,0.212407317
4.0,466.0,1.241903814858e-02,4.967615259432e-02,9.515375275685e-01,0.215740790
4.0,468.0,1.257201325038e-02,5.028805300152e-02,9.509554594700e-01,0.218398239
4.0,470.0,1.283604381141e-02,5.134417524564e-02,9.499516644145e-01,0.222984920
4.0,472.0,1.314110122105e-02,5.256440488420e-02,9.487932121710e-01,0.228284310
4.0,474.0,1.344715778091e-02,5.378863112364e-02,9.476323853272e-01,0.233601057
4.0,476.0,1.378418667130e-02,5.513674668520e-02,9.463557280960e-01,0.239455848
4.0,478.0,1.413216191905e-02,5.652864767620e-02,9.450394109243e-01,0.245500798
4.0,480.0,1.446105836676e-02,5.784423346704e-02,9.437969479660e-01,0.251214314
4.0,482.0,1.482085164323e-02,5.928340657292e-02,9.424396377176e-01,0.257464563
4.0,484.0,1.518151813511e-02,6.072607254044e-02,9.410809923971e-01,0.263729982
4.0,486.0,1.556303495983e-02,6.225213983932e-02,9.396459347448e-01,0.270357608
4.0,488.0,1.607537993942e-02,6.430151975768e-02,9.377222151253e-01,0.279257952
4.0,490.0,1.672853157561e-02,6.691412630244e-02,9.352755134550e-01,0.290604358
4.0,492.0,1.754246902578e-02,7.016987610312e-02,9.322354419299e-01,0.304743900
4.0,494.0,1.853717207993e-02,7.414868831972e-02,9.285336214727e-01,0.322023662
4.0,496.0,1.976262113856e-02,7.905048455424e-02,9.239932758789e-01,0.343311892
4.0,498.0,2.124879719143e-02,8.499518876572e-02,9.185167035899e-01,0.369129415
4.0,500.0,2.268568179718e-02,9.074272718872e-02,9.132526357511e-01,0.394090657
4.0,502.0,2.434325706370e-02,9.737302825480e-02,9.072175252356e-01,0.422885689
4.0,504.0,2.613150562929e-02,1.045260225172e-01,9.007513572842e-01,0.453950748
4.0,506.0,2.854041064458e-02,1.141616425783e-01,8.921137406619e-01,0.495797714
4.0,508.0,3.153995575512e-02,1.261598230205e-01,8.814739556948e-01,0.547905150
4.0,510.0,3.480012508463e-02,1.392005003385e-01,8.700535649345e-01,0.604540092
4.0,512.0,3.746090321893e-02,1.498436128757e-01,8.608425905960e-01,0.650762542
4.0,514.0,3.912227519045e-02,1.564891007618e-01,8.551408380358e-01,0.679623529
4.0,516.0,3.992422646334e-02,1.596969058534e-01,8.524021079062e-01,0.693554850
4.0,518.0,4.046674291916e-02,1.618669716766e-01,8.505543448331e-01,0.702979326
4.0,520.0,4.082981084306e-02,1.633192433722e-01,8.493200053476e-01,0.709286462
4.0,522.0,4.125341691052e-02,1.650136676421e-01,8.478821154594e-01,0.716645253
4.0,524.0,4.177754817459e-02,1.671101926984e-01,8.461063714559e-01,0.725750346
4.0,526.0,4.246219205357e-02,1.698487682143e-01,8.437924151814e-01,0.737643828
4.0,528.0,4.317733631914e-02,1.727093452766e-01,8.413821309986e-01,0.750067156
4.0,530.0,4.395296908500e-02,1.758118763400e-01,8.387757620619e-01,0.763541277
4.0,532.0,4.480907879581e-02,1.792363151832e-01,8.359083382225e-01,0.778413426
4.0,534.0,4.584565421664e-02,1.833826168666e-01,8.324495855438e-01,0.796420586
4.0,536.0,4.687268442274e-02,1.874907376910e-01,8.290367969399e-01,0.814261928
4.0,538.0,4.789015878967e-02,1.915606351587e-01,8.256695589839e-01,0.831937268
