distance_m,received_power_w,photon_energy_j,bit_duration_s,mean_received_photons_per_bit,detector_efficiency,mean_detected_photons_per_bit
424.0,5.349831956759026e-07,4.775110233531078e-19,5e-08,56017.88958914729,0.8941168156240403,50086.53705742746
426.0,5.224856072155523e-07,4.775110233531078e-19,5e-08,54709.27179299762,0.8941168156240403,48916.47988066517
428.0,5.103022569684227e-07,4.775110233531078e-19,5e-08,53433.55776219081,0.8941168156240403,47775.84251379327
430.0,4.984245637218004e-07,4.775110233531078e-19,5e-08,52189.84896116498,0.8941168156240403,46663.82156105646
432.0,4.868442025867134e-07,4.775110233531078e-19,5e-08,50977.27369392098,0.8941168156240403,45579.63762440378
434.0,4.7555309658659255e-07,4.775110233531078e-19,5e-08,49794.986223274325,0.8941168156240403,44522.534515996995
436.0,4.6454340854954595e-07,4.775110233531078e-19,5e-08,48642.165921898246,0.8941168156240403,43491.778499143875
438.0,4.538075332921976e-07,4.775110233531078e-19,5e-08,47518.01645389638,0.8941168156240403,42486.65755652858
440.0,4.433380900835869e-07,4.775110233531078e-19,5e-08,46421.76498570056,0.8941168156240403,41506.48068466216
442.0,4.331279153781073e-07,4.775110233531078e-19,5e-08,45352.661425139464,0.8941168156240403,40550.57721352095
444.0,4.231700558069466e-07,4.775110233531078e-19,5e-08,44309.97768757504,0.8941168156240403,39618.29615038687
446.0,4.1345776141793927e-07,4.775110233531078e-19,5e-08,43293.00698804991,0.8941168156240403,38709.00554694451
448.0,4.039844791541683e-07,4.775110233531078e-19,5e-08,42301.063158434314,0.8941168156240403,37822.0918887307
450.0,3.947438465620716e-07,4.775110233531078e-19,5e-08,41333.479988604166,0.8941168156240403,36956.95950607075
452.0,3.8572968572019503e-07,4.775110233531078e-19,5e-08,40389.61059072319,0.8941168156240403,36113.03000567243
454.0,3.7693599738010955e-07,4.775110233531078e-19,5e-08,39468.82678574045,0.8941168156240403,35289.741722083076
456.0,3.683569553113646e-07,4.775110233531078e-19,5e-08,38570.51851125262,0.8941168156240403,34486.54918824929
458.0,3.5998690084269377e-07,4.775110233531078e-19,5e-08,37694.093249915626,0.8941168156240403,33702.92262445019
460.0,3.5182033759200667e-07,4.775110233531078e-19,5e-08,36838.97547762411,0.8941168156240403,32938.347444905376
462.0,3.4385192637802143e-07,4.775110233531078e-19,5e-08,36004.60613071033,0.8941168156240403,32192.32378138852
464.0,3.360764803066751e-07,4.775110233531078e-19,5e-08,35190.44209144411,0.8941168156240403,31464.3660232042
466.0,3.2848896002574497e-07,4.775110233531078e-19,5e-08,34395.95569114594,0.8941168156240403,30754.002372912993
468.0,3.210844691413714e-07,4.775110233531078e-19,5e-08,33620.63423025286,0.8941168156240403,30060.774417214292
470.0,3.1385824979044255e-07,4.775110233531078e-19,5e-08,32863.979514704515,0.8941168156240403,29384.236712421294
472.0,3.06805678363037e-07,4.775110233531078e-19,5e-08,32125.507408041725,0.8941168156240403,28723.956383984783
474.0,2.9992226136936465e-07,4.775110233531078e-19,5e-08,31404.74739863538,0.8941168156240403,28079.51273954523
476.0,2.9320363144586474e-07,4.775110233531078e-19,5e-08,30701.242181486534,0.8941168156240403,27450.496895013206
478.0,2.8664554349533785e-07,4.775110233531078e-19,5e-08,30014.547254061024,0.8941168156240403,26836.51141319833
480.0,2.802438709561972e-07,4.775110233531078e-19,5e-08,29344.230525644183,0.8941168156240403,26237.169954526737
482.0,2.739946021961148e-07,4.775110233531078e-19,5e-08,28689.871939720902,0.8941168156240403,25652.09693940476
484.0,2.6789383702553306e-07,4.775110233531078e-19,5e-08,28051.063108906706,0.8941168156240403,25080.927221804657
486.0,2.619377833266859e-07,4.775110233531078e-19,5e-08,27427.406961973866,0.8941168156240403,24523.305773664706
488.0,2.5612275379395424e-07,4.775110233531078e-19,5e-08,26818.51740253519,0.8941168156240403,23978.887379712676
490.0,2.5044516278153527e-07,4.775110233531078e-19,5e-08,26224.018978964716,0.8941168156240403,23447.33634233633
492.0,2.44901523254573e-07,4.775110233531078e-19,5e-08,25643.546565151675,0.8941168156240403,22928.326196140213
494.0,2.394884438400388e-07,4.775110233531078e-19,5e-08,25076.74505169935,0.8941168156240403,22421.53943184133
496.0,2.3420262597380497e-07,4.775110233531078e-19,5e-08,24523.269047196194,0.8941168156240403,21926.667229170656
498.0,2.2904086114048557e-07,4.775110233531078e-19,5e-08,23982.782589200604,0.8941168156240403,21443.40919845972
500.0,2.2400002820275384e-07,4.775110233531078e-19,5e-08,23454.95886459476,0.8941168156240403,20971.47313060432
502.0,2.1907709081697477e-07,4.775110233531078e-19,5e-08,22939.47993897646,0.8941168156240403,20510.574755109188
504.0,2.1426909493210933e-07,4.775110233531078e-19,5e-08,22436.036494770353,0.8941168156240403,20060.437505928825
506.0,2.0957316636896627e-07,4.775110233531078e-19,5e-08,21944.32757775227,0.8941168156240403,19620.79229483067
508.0,2.0498650847698876e-07,4.775110233531078e-19,5e-08,21464.06035169226,0.8941168156240403,19191.377292017303
510.0,2.005063998658695e-07,4.775110233531078e-19,5e-08,20994.949860832832,0.8941168156240403,18771.93771375424
512.0,1.9613019220939068e-07,4.775110233531078e-19,5e-08,20536.718799929895,0.8941168156240403,18362.22561675968
514.0,1.918553081189852e-07,4.775110233531078e-19,5e-08,20089.09729159413,0.8941168156240403,17961.99969912168
516.0,1.8767923908460818e-07,4.775110233531078e-19,5e-08,19651.822670680413,0.8941168156240403,17571.025107517093
518.0,1.835995434806002e-07,4.775110233531078e-19,5e-08,19224.639275482525,0.8941168156240403,17189.073250515292
520.0,1.796138446343079e-07,4.775110233531078e-19,5e-08,18807.29824549912,0.8941168156240403,16815.921617757274
522.0,1.7571982895531465e-07,4.775110233531078e-19,5e-08,18399.557325546186,0.8941168156240403,16451.35360480934
524.0,1.7191524412321044e-07,4.775110233531078e-19,5e-08,18001.1806759991,0.8941168156240403,16095.158343497325
526.0,1.6819789733191e-07,4.775110233531078e-19,5e-08,17611.93868895585,0.8941168156240403,15747.130537535038
528.0,1.645656535885991e-07,4.775110233531078e-19,5e-08,17231.60781012031,0.8941168156240403,15407.070303267114
530.0,1.6101643406546157e-07,4.775110233531078e-19,5e-08,16859.970366212237,0.8941168156240403,15074.78301535337
532.0,1.575482145024068e-07,4.775110233531078e-19,5e-08,16496.814397717444,0.8941168156240403,14750.079157227941
534.0,1.541590236590836e-07,4.775110233531078e-19,5e-08,16141.933496798745,0.8941168156240403,14432.774176172725
536.0,1.508469418145259e-07,4.775110233531078e-19,5e-08,15795.126650194445,0.8941168156240403,14122.688342850272
538.0,1.4761009931284156e-07,4.775110233531078e-19,5e-08,15456.19808693793,0.8941168156240403,13819.646615147325
540.0,1.4444667515340575e-07,4.775110233531078e-19,5e-08,15124.957130737368,0.8941168156240403,13523.478506185018
542.0,1.4135489562408437e-07,4.775110233531078e-19,5e-08,14801.21805686105,0.8941168156240403,13234.017956357648
544.0,1.3833303297605815e-07,4.775110233531078e-19,5e-08,14484.799953378691,0.8941168156240403,12951.103209266203
546.0,1.35379404138876e-07,4.775110233531078e-19,5e-08,14175.526586615175,0.8941168156240403,12674.576691418282
548.0,1.3249236947440995e-07,4.775110233531078e-19,5e-08,13873.226270677635,0.8941168156240403,12404.284895570067
550.0,1.2967033156843693e-07,4.775110233531078e-19,5e-08,13577.731740922436,0.8941168156240403,12140.078267591025
552.0,1.2691173405861196e-07,4.775110233531078e-19,5e-08,13288.880031232682,0.8941168156240403,11881.811096735662
